Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Бастурма,6532,520,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,1999-08-11,2002-01-04,1.92,Out of Stock
2,Черника,4756,218,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1999-08-04,2006-05-05,2.76,New
3,Киноа,6482,555,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2013-05-04,2029-02-14,4.25,Awaiting Review
4,Мацони,4853,838,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2020-04-18,2026-01-04,4.69,Delivered
5,Копчености,8545,757,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2001-09-06,2006-03-03,3.39,Pending
6,Сметана,7991,213,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2005-02-08,2012-02-11,1.87,Out of Stock
7,Повидло,7817,404,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1992-02-02,2015-01-05,2.24,Returned
8,Утка,7186,896,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1990-07-03,2017-07-08,0.26,Pending
9,Ананас,8413,403,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,1993-08-01,2016-03-08,0.94,Pending
10,Спаржа,9213,889,Овощи,Способствует нормализации обмена веществ в организме.,2016-06-04,2021-04-04,2.17,Pending
11,Печень,7090,448,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2002-10-06,2021-05-10,0.15,Pending
12,Феодосийская,9788,470,Напитки,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-02-03,2014-01-19,3.68,Awaiting Review
13,Кольраби,6808,473,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1993-03-01,2016-01-01,4.09,Awaiting Payment
14,Lipton Ice Tea,7501,133,Напитки,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2007-06-03,2019-06-05,0.34,Temporarily Unavailable
15,Фета,5563,985,Молочные продукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1991-02-12,2011-04-01,2.37,On Backorder
16,Пакеты для лекарств,4156,629,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",2014-04-05,2024-05-02,2.14,Pending
17,Персик,8794,783,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2022-01-11,2024-01-01,1.2,New
18,Язык,3269,962,Мясо,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1996-04-10,1997-02-03,4.85,New
19,Ласси,3015,80,Молочные продукты,Отвечает всем современным стандартам качества и безопасности.,2022-01-19,2024-02-20,4.34,On Backorder
20,Каша из дробленной полентовой крупы,9639,545,Бакалея,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2006-03-03,2025-02-22,2.7,In Stock
21,Творог,6290,966,Молочные продукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2007-02-09,2019-02-03,0.45,On Backorder
22,Адыгейский сыр,1796,399,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2016-01-25,2020-09-02,4.13,On Backorder
23,Буррито с мясом,2107,17,Мясо,Прошел сертификацию на соответствие требованиям органических стандартов.,2012-03-10,2023-01-06,0.5,In Stock
24,Творог,7860,156,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2020-11-17,2023-04-01,4.53,Awaiting Payment
25,Лардон,6626,634,Мясо,Может быть использован в качестве заменителя менее полезных продуктов.,2020-04-02,2022-03-07,1.84,Awaiting Review
26,Vittel,1398,21,Напитки,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1991-03-12,2025-01-13,4.28,Awaiting Payment
27,Кристалл Байкала,1948,672,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,1998-02-06,2007-04-07,4.79,Out of Stock
28,Сыр,5709,941,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-03-08,2016-02-12,4.52,Out of Stock
29,Верблюжье молоко,9093,670,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2021-02-03,2028-07-08,2.64,Refunded
30,Укроп,9250,777,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2016-03-05,2016-03-08,2.6,Refunded
31,Дыня,6405,697,Фрукты,Может использоваться в детском питании начиная с раннего возраста.,1999-09-08,2010-03-01,2.0,Delivered
32,Лимон,1600,975,Фрукты,"Подходит для приготовления как горячих, так и холодных блюд.",2015-01-13,2025-03-13,2.26,Returned
33,Пакеты для дня рождения,2256,543,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1992-02-17,2022-03-21,2.49,Cancelled
34,Мороженое,7355,212,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2012-03-09,2020-04-24,2.33,Backorder
35,Ямс,484,340,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2008-06-24,2014-01-05,1.02,Returned
36,Банан,5256,593,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,2007-09-23,2026-01-01,0.78,Delivered
37,Ярославская,6577,743,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2019-05-21,2028-01-10,3.81,New
38,Электрочайник,4020,126,Товары для дома,Помогает укрепить иммунную систему и защитить организм от инфекций.,2002-02-10,2005-02-01,3.34,In Stock
39,Кашинская,2821,146,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2019-02-15,2023-01-12,4.82,Sold
40,Кровянка,3227,127,Мясо,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2022-01-06,2022-03-07,1.52,Refunded
41,Тако с мясом,9687,578,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2015-01-03,2021-01-02,3.36,Returned
42,Айва,6596,570,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,1995-01-08,2006-05-05,0.46,In Stock
43,Сметана,5183,652,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,1997-02-05,2030-06-19,4.07,Pending
44,Шубат,4631,568,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2002-03-13,2014-01-03,4.11,Awaiting Payment
45,Fantastic,6381,484,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1990-05-05,2030-07-09,2.41,Returned
46,Горох,8735,933,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2006-01-16,2021-01-01,4.92,Pending
47,Простокваша,7232,576,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1991-06-02,1999-04-19,3.23,Temporarily Unavailable
48,"Орехи (грецкий орех, миндаль, фундук)",1517,241,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2014-10-04,2028-03-01,2.73,Pending
49,Консервный нож,4870,874,Товары для дома,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1994-02-04,1997-01-04,2.03,Available for Pickup
50,Айран,5387,756,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2003-08-05,2009-03-01,3.23,In Stock
51,Каша из кускуса,4369,820,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-01-06,2026-02-04,0.14,Awaiting Review
52,Чебуреки,3188,376,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2006-03-02,2027-02-18,2.89,Awaiting Payment
53,Зубная щетка,910,216,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-01-10,2027-07-03,1.91,Returned
54,Новотерская,4414,503,Напитки,Помогает укрепить иммунную систему и защитить организм от инфекций.,2021-02-02,2030-04-15,1.55,Awaiting Review
55,Ветчина,2497,710,Мясо,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2003-03-15,2014-02-12,1.86,Sold
56,Турнепс,948,398,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1996-01-06,2006-02-01,4.09,On Backorder
57,Ямс,625,760,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1991-01-01,2004-02-22,4.83,Awaiting Payment
58,Каша из пшена,2514,431,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2017-06-07,2026-03-18,4.39,Pending
59,Анис звездчатый,4903,348,Бакалея,Рекомендуется для ежедневного потребления в умеренных количествах.,2007-03-03,2010-02-09,2.87,Available for Pickup
60,Адлеркурортная,5027,654,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,1999-02-09,2025-02-10,3.45,Cancelled
61,Орловская,1106,861,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,1992-10-13,2016-03-06,3.91,On Backorder
62,Пшено,3959,681,Бакалея,Подходит для людей с чувствительным пищеварением.,2009-07-05,2020-04-19,0.09,Sold
63,Каша из дробленной манной крупы,8906,393,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2017-02-02,2023-04-03,4.01,Awaiting Payment
64,Подставки под столовые приборы,3727,297,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2008-02-04,2008-03-01,4.55,New
65,Уксус,9551,354,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1994-09-08,2012-01-02,2.88,Backorder
66,Брынза,9841,729,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2015-10-03,2024-01-02,1.53,Available for Pickup
67,Сгущенное молоко,162,57,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2003-01-03,2024-01-12,2.0,Sold
68,Калужская,6554,417,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,2021-01-02,2029-01-09,1.35,Pending
69,Грудинка копченая,7832,877,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2007-01-05,2021-01-22,1.22,New
70,Burn,4456,846,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2022-03-10,2028-02-18,3.97,Delivered
71,Штопоры,7950,397,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1997-07-04,2004-01-05,0.42,Awaiting Review
72,Укроп,544,819,Овощи,Отличается хорошим сочетанием с различными специями и приправами.,2012-08-11,2020-02-19,1.61,Refunded
73,Сало,2750,230,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1991-03-03,2011-09-01,1.98,Returned
74,Мортаделла,1923,905,Мясо,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1994-04-04,2013-07-01,3.03,In Stock
75,Катык,5092,85,Молочные продукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-01-01,2023-01-01,3.04,On Backorder
76,Пармезан,2020,860,Молочные продукты,Широко используется в традиционной и современной кухне.,1991-10-06,2012-09-16,0.5,Delivered
77,Свекла,3946,308,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2003-04-02,2021-01-11,4.29,New
78,Огурец,7886,862,Овощи,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2019-02-12,2030-03-23,3.69,Sold
79,Цветная капуста,5903,113,Овощи,Отличается высокими показателями усвояемости организмом.,2014-04-08,2018-03-02,0.64,Sold
80,Свекла,6600,578,Овощи,Помогает поддерживать нормальный уровень артериального давления.,2016-03-02,2024-01-01,3.77,Awaiting Payment
81,Донер-кебаб,8214,904,Мясо,"Является источником антиоксидантов, замедляющих процессы старения.",2018-01-21,2030-02-20,0.26,Refunded
82,Апельсин,6145,876,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,1996-05-06,2020-02-06,1.57,Awaiting Review
83,Масло подсолнечное,4744,254,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1992-09-02,2010-02-01,2.15,In Stock
84,Блины с мясом,6999,32,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2017-01-01,2025-02-18,4.03,In Stock
85,Наборы столовых приборов,4235,90,Товары для дома,Рекомендуется для ежедневного потребления в умеренных количествах.,1995-03-06,2019-01-03,2.11,Backorder
86,Каша из дробленной булгурной крупы,3876,708,Бакалея,Отличается низким содержанием насыщенных жиров и холестерина.,2007-01-28,2028-02-19,4.58,Shipping
87,Шпинат,2883,921,Овощи,Используется в косметологии для ухода за кожей и волосами.,2014-03-03,2021-06-01,2.53,Sold
88,Джем,7348,954,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1995-01-06,2014-04-24,0.67,Available for Pickup
89,Артек,3604,929,Напитки,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2019-01-01,2024-08-02,2.16,Awaiting Payment
90,Баранина,2261,955,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2021-04-02,2026-01-09,1.77,Shipping
91,Мацеста,3198,681,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2010-03-03,2022-01-16,3.57,Sold
92,Варенец,1159,677,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2005-08-21,2025-01-05,2.58,Available for Pickup
93,Зефир,8046,715,Бакалея,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2014-11-24,2017-01-01,1.71,Out of Stock
94,Моющее средство для стекол,1884,989,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-05-20,2022-02-10,3.67,Awaiting Payment
95,Цукини,4499,734,Овощи,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1990-06-05,1996-06-08,4.33,Delivered
96,Российский сыр,7969,391,Молочные продукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2017-04-08,2029-09-18,3.3,In Stock
97,Каймак,6616,499,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,1990-03-04,2007-01-18,3.5,Delivered
98,Курт,8620,392,Молочные продукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2017-03-06,2029-04-03,4.52,Out of Stock
99,Пакеты для Дня влюбленных,7345,609,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2020-01-01,2023-04-08,0.86,New
100,Лимон,2912,212,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2011-04-01,2016-03-08,0.24,Returned
101,Тыква,7952,215,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2000-01-19,2015-06-08,3.14,Pending
102,Орловская,7851,423,Напитки,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2021-02-01,2030-03-04,0.66,Refunded
103,Эндивий,2821,245,Овощи,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2001-06-14,2026-07-08,3.01,Cancelled
104,Папайя,447,307,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2008-01-08,2028-08-02,0.8,Available for Pickup
105,Плечо,3064,42,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2002-05-09,2016-06-07,2.52,Cancelled
106,"Сухофрукты (изюм, курага, чернослив)",454,827,Бакалея,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1994-07-04,2020-01-23,0.03,Pending
107,Камамбер,874,124,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2015-05-03,2028-04-13,0.22,Backorder
108,Пакеты для заморозки,5706,126,Товары для дома,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2019-02-01,2028-01-01,0.88,Backorder
109,Простокваша,3294,179,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2019-03-01,2020-06-03,3.73,Awaiting Review
110,Шаурма,2139,577,Мясо,Помогает укреплять стенки сосудов и улучшать кровообращение.,1995-01-07,2010-04-01,4.87,Backorder
111,Пакеты для ярмарки,4929,775,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2021-02-05,2029-09-05,1.12,On Backorder
112,Скалки,8606,223,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2018-04-08,2018-08-03,2.99,Shipping
113,Крахмал картофельный,799,496,Бакалея,Отличается удобством использования и экономичностью в расходе.,2015-01-07,2019-03-05,3.29,Awaiting Payment
114,Каша из киноа,9670,52,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2019-05-15,2024-03-01,1.97,Delivered
115,Кухонные ножи,9827,508,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2007-03-13,2007-09-01,4.67,Awaiting Review
116,Магаданская,6390,234,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2008-04-03,2023-04-07,3.37,Returned
117,Тушенка,4788,727,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2014-06-01,2016-07-04,4.8,Pending
118,Сушеные грибы,1974,814,Бакалея,"Богат кальцием, необходимым для укрепления костей и зубов.",1998-01-06,2005-03-03,2.98,Awaiting Review
119,Масло сливочное,8362,226,Молочные продукты,Помогает поддерживать оптимальный вес и форму тела.,2021-03-03,2029-05-01,1.66,Shipping
120,Чиа семена,7463,536,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2005-03-04,2011-07-08,2.72,Pending
121,Пастернак,9307,69,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2003-02-02,2003-07-01,3.49,Returned
122,Карамбола,8744,798,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",2007-04-03,2026-01-03,1.55,Sold
123,Кавказская,3048,759,Напитки,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-03-01,2023-09-19,2.76,Out of Stock
124,Куриные грудки,9967,289,Мясо,Отличается легкостью в переваривании и усвоении организмом.,2021-10-06,2024-02-12,2.8,Temporarily Unavailable
125,Киноа,3308,1000,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,2002-02-03,2014-02-17,2.95,Pending
126,Смузи бананово-клубничный,6773,236,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2022-02-01,2024-02-12,1.03,Refunded
127,Monster Energy,8265,730,Напитки,Способствует нормализации обмена веществ в организме.,2022-05-05,2025-02-16,0.96,Returned
128,Карамбола,6354,834,Фрукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2000-03-12,2023-04-07,3.25,Cancelled
129,Морс брусничный,2434,618,Напитки,Отличается способностью повышать общий тонус и работоспособность.,2021-01-04,2024-01-16,4.91,Sold
130,Растительное масло кунжутное,2873,150,Бакалея,Помогает поддерживать нормальный уровень артериального давления.,2003-08-06,2004-03-01,3.74,Sold
131,Марийская,8363,52,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",2013-01-24,2026-06-02,4.63,Sold
132,Горох,6494,946,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-04-11,2014-01-11,3.27,Awaiting Payment
133,Бастурма,5255,765,Мясо,Отличается простотой в использовании и хранении.,2021-01-03,2026-03-18,4.2,Returned
134,Тостер,5702,54,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1991-03-05,2022-04-02,3.3,Temporarily Unavailable
135,Картофель,5582,760,Овощи,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2001-07-17,2015-04-11,4.8,Awaiting Payment
136,Спаржа,4786,15,Овощи,Может использоваться в вегетарианской диете как источник белка.,2008-02-04,2030-04-23,2.77,On Backorder
137,Ленинградская,7952,172,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-02-01,2022-01-01,1.77,Returned
138,Чечевица,5582,301,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1997-05-01,2026-06-09,1.52,New
139,Каша из дробленной овсянки,331,143,Бакалея,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2004-05-02,2016-04-02,1.83,Available for Pickup
140,Повидло,3775,283,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1994-03-03,2014-12-05,3.09,Out of Stock
141,Вареники с мясом,3008,947,Мясо,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2001-03-05,2030-09-01,1.18,Available for Pickup
142,Шубат,5262,623,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2010-05-02,2014-03-19,2.55,Sold
143,Яблоко,8717,420,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,2018-03-01,2029-02-15,2.12,New
144,Смузи шпинатно-банановый,4309,301,Напитки,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2003-02-03,2021-03-09,4.9,Cancelled
145,Крольчатина,4153,473,Мясо,Отличается низкой калорийностью и высоким содержанием белка.,1990-03-02,2002-01-04,0.25,In Stock
146,Кефир,1255,67,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2010-03-07,2027-06-06,4.74,Awaiting Payment
147,Ложки столовые,2566,69,Товары для дома,Представляет собой ценный источник питательных веществ для растущего организма.,1995-03-02,2011-01-07,3.12,Shipping
148,Противни,6457,107,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2018-02-03,2025-02-03,1.52,Delivered
149,Ласси,7654,70,Молочные продукты,Является неотъемлемой частью рациона многих народов мира.,1997-01-01,2022-06-01,3.5,Cancelled
150,Киноа,5772,67,Бакалея,Прошел проверку на соответствие экологическим нормам и стандартам.,2006-02-02,2020-02-06,1.4,Out of Stock
151,Златоустовская,9852,962,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2002-06-01,2024-01-26,3.31,Temporarily Unavailable
152,Оленина,1308,115,Мясо,Может использоваться в вегетарианской диете как источник белка.,2012-06-06,2016-01-03,2.13,Cancelled
153,Горох,6691,26,Овощи,Прошел сертификацию на соответствие требованиям органических стандартов.,1992-08-08,2017-02-05,4.81,Sold
154,Тарелки глубокие,8822,146,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,1992-08-01,2003-04-01,2.48,Shipping
155,Паприка сладкая молотая,5102,67,Бакалея,Может быть использован в выпечке для придания ей особой пышности и аромата.,2017-07-01,2021-03-02,2.42,In Stock
156,Авокадо,4130,767,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",1999-02-14,2008-01-04,4.64,On Backorder
157,Мандарин,7121,17,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-09-14,2028-04-04,0.64,On Backorder
158,Ямс,9533,70,Овощи,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1995-07-07,2022-02-10,2.01,New
159,Бифштекс,3434,727,Мясо,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2006-09-04,2026-01-01,4.38,Shipping
160,Томатная паста,5348,488,Бакалея,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2005-01-02,2012-01-03,3.55,Awaiting Payment
161,Забайкальская,1136,183,Напитки,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2017-04-06,2025-02-19,3.69,Available for Pickup
162,Адыгейский сыр,9364,341,Молочные продукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1995-01-01,2018-01-03,2.69,Delivered
163,Шпинат,1623,564,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2011-01-07,2022-05-03,0.08,Awaiting Review
164,Моцарелла,8853,185,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,2011-06-07,2026-10-10,1.5,Awaiting Payment
165,Липецкий бювет,9418,329,Напитки,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1996-05-03,2030-07-03,1.51,Delivered
166,Курт,9324,335,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2006-01-01,2014-01-07,4.3,Delivered
167,Сыр,7888,30,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2013-07-06,2028-04-19,2.83,Temporarily Unavailable
168,Свинина,7339,455,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2003-07-11,2025-01-01,3.19,Out of Stock
169,Портулак,8696,759,Овощи,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2002-01-14,2022-03-01,0.1,Available for Pickup
170,Окра,9542,112,Овощи,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2011-04-16,2017-02-09,2.97,Shipping
171,Бифштекс,4346,392,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2001-03-11,2023-05-23,4.89,Returned
172,Пакеты для Дня Земли,9093,227,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1995-05-06,1995-06-06,1.62,Returned
173,Квас хлебный,1689,329,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2020-02-08,2027-04-18,3.71,Temporarily Unavailable
174,Пастила,991,476,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2001-05-21,2017-01-09,3.44,Returned
175,Фета,5846,420,Молочные продукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2017-03-01,2028-07-16,4.18,Sold
176,Козлятина,728,333,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2011-01-25,2027-02-01,3.91,Cancelled
177,Рыбинская,5848,51,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2021-01-09,2021-11-21,4.7,On Backorder
178,Батат,3660,656,Овощи,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2013-01-08,2019-05-04,0.15,On Backorder
179,Фенхель,5890,913,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2015-01-13,2030-05-24,1.22,Returned
